182&00&$+$& 27.4&208&00&$+$& 36.1&234&00&$+$& 37.6&260&00&$+$& 31.4&286&00&$+$& 18.8&312&00&$+$&  2.5&338&00&$-$& 14.4\\
182&30&$+$& 27.6&208&30&$+$& 36.2&234&30&$+$& 37.5&260&30&$+$& 31.2&286&30&$+$& 18.5&312&30&$+$&  2.2&338&30&$-$& 14.7\\
183&00&$+$& 27.9&209&00&$+$& 36.3&235&00&$+$& 37.5&261&00&$+$& 31.0&287&00&$+$& 18.3&313&00&$+$&  1.8&339&00&$-$& 15.0\\
183&30&$+$& 28.1&209&30&$+$& 36.4&235&30&$+$& 37.4&261&30&$+$& 30.8&287&30&$+$& 18.0&313&30&$+$&  1.5&339&30&$-$& 15.3\\
184&00&$+$& 28.3&210&00&$+$& 36.5&236&00&$+$& 37.3&262&00&$+$& 30.6&288&00&$+$& 17.7&314&00&$+$&  1.2&340&00&$-$& 15.6\\
184&30&$+$& 28.5&210&30&$+$& 36.6&236&30&$+$& 37.3&262&30&$+$& 30.4&288&30&$+$& 17.4&314&30&$+$&  0.8&340&30&$-$& 15.9\\[1ex]
185&00&$+$& 28.7&211&00&$+$& 36.7&237&00&$+$& 37.2&263&00&$+$& 30.2&289&00&$+$& 17.1&315&00&$+$&  0.5&341&00&$-$& 16.2\\
185&30&$+$& 29.0&211&30&$+$& 36.8&237&30&$+$& 37.2&263&30&$+$& 30.0&289&30&$+$& 16.8&315&30&$+$&  0.2&341&30&$-$& 16.5\\
186&00&$+$& 29.2&212&00&$+$& 36.9&238&00&$+$& 37.1&264&00&$+$& 29.8&290&00&$+$& 16.5&316&00&$-$&  0.2&342&00&$-$& 16.8\\
186&30&$+$& 29.4&212&30&$+$& 36.9&238&30&$+$& 37.0&264&30&$+$& 29.6&290&30&$+$& 16.2&316&30&$-$&  0.5&342&30&$-$& 17.1\\
187&00&$+$& 29.6&213&00&$+$& 37.0&239&00&$+$& 36.9&265&00&$+$& 29.4&291&00&$+$& 15.9&317&00&$-$&  0.8&343&00&$-$& 17.4\\
187&30&$+$& 29.8&213&30&$+$& 37.1&239&30&$+$& 36.9&265&30&$+$& 29.2&291&30&$+$& 15.6&317&30&$-$&  1.2&343&30&$-$& 17.7\\[1ex]
188&00&$+$& 30.0&214&00&$+$& 37.2&240&00&$+$& 36.8&266&00&$+$& 29.0&292&00&$+$& 15.3&318&00&$-$&  1.5&344&00&$-$& 18.0\\
188&30&$+$& 30.2&214&30&$+$& 37.2&240&30&$+$& 36.7&266&30&$+$& 28.8&292&30&$+$& 15.0&318&30&$-$&  1.8&344&30&$-$& 18.2\\
189&00&$+$& 30.4&215&00&$+$& 37.3&241&00&$+$& 36.6&267&00&$+$& 28.5&293&00&$+$& 14.7&319&00&$-$&  2.1&345&00&$-$& 18.5\\
189&30&$+$& 30.6&215&30&$+$& 37.3&241&30&$+$& 36.5&267&30&$+$& 28.3&293&30&$+$& 14.4&319&30&$-$&  2.5&345&30&$-$& 18.8\\
190&00&$+$& 30.8&216&00&$+$& 37.4&242&00&$+$& 36.4&268&00&$+$& 28.1&294&00&$+$& 14.1&320&00&$-$&  2.8&346&00&$-$& 19.1\\
190&30&$+$& 31.0&216&30&$+$& 37.5&242&30&$+$& 36.3&268&30&$+$& 27.9&294&30&$+$& 13.8&320&30&$-$&  3.1&346&30&$-$& 19.4\\[1ex]
191&00&$+$& 31.2&217&00&$+$& 37.5&243&00&$+$& 36.2&269&00&$+$& 27.6&295&00&$+$& 13.5&321&00&$-$&  3.5&347&00&$-$& 19.7\\
191&30&$+$& 31.4&217&30&$+$& 37.6&243&30&$+$& 36.1&269&30&$+$& 27.4&295&30&$+$& 13.1&321&30&$-$&  3.8&347&30&$-$& 20.0\\
192&00&$+$& 31.5&218&00&$+$& 37.6&244&00&$+$& 36.0&270&00&$+$& 27.2&296&00&$+$& 12.8&322&00&$-$&  4.1&348&00&$-$& 20.2\\
192&30&$+$& 31.7&218&30&$+$& 37.6&244&30&$+$& 35.9&270&30&$+$& 27.0&296&30&$+$& 12.5&322&30&$-$&  4.5&348&30&$-$& 20.5\\
193&00&$+$& 31.9&219&00&$+$& 37.7&245&00&$+$& 35.8&271&00&$+$& 26.7&297&00&$+$& 12.2&323&00&$-$&  4.8&349&00&$-$& 20.8\\
193&30&$+$& 32.1&219&30&$+$& 37.7&245&30&$+$& 35.7&271&30&$+$& 26.5&297&30&$+$& 11.9&323&30&$-$&  5.1&349&30&$-$& 21.1\\[1ex]
194&00&$+$& 32.3&220&00&$+$& 37.8&246&00&$+$& 35.6&272&00&$+$& 26.2&298&00&$+$& 11.6&324&00&$-$&  5.4&350&00&$-$& 21.4\\
194&30&$+$& 32.4&220&30&$+$& 37.8&246&30&$+$& 35.5&272&30&$+$& 26.0&298&30&$+$& 11.3&324&30&$-$&  5.8&350&30&$-$& 21.6\\
195&00&$+$& 32.6&221&00&$+$& 37.8&247&00&$+$& 35.4&273&00&$+$& 25.8&299&00&$+$& 10.9&325&00&$-$&  6.1&351&00&$-$& 21.9\\
195&30&$+$& 32.8&221&30&$+$& 37.8&247&30&$+$& 35.2&273&30&$+$& 25.5&299&30&$+$& 10.6&325&30&$-$&  6.4&351&30&$-$& 22.2\\
196&00&$+$& 32.9&222&00&$+$& 37.9&248&00&$+$& 35.1&274&00&$+$& 25.3&300&00&$+$& 10.3&326&00&$-$&  6.7&352&00&$-$& 22.4\\
196&30&$+$& 33.1&222&30&$+$& 37.9&248&30&$+$& 35.0&274&30&$+$& 25.0&300&30&$+$& 10.0&326&30&$-$&  7.1&352&30&$-$& 22.7\\[1ex]
197&00&$+$& 33.3&223&00&$+$& 37.9&249&00&$+$& 34.9&275&00&$+$& 24.8&301&00&$+$&  9.7&327&00&$-$&  7.4&353&00&$-$& 23.0\\
197&30&$+$& 33.4&223&30&$+$& 37.9&249&30&$+$& 34.7&275&30&$+$& 24.5&301&30&$+$&  9.3&327&30&$-$&  7.7&353&30&$-$& 23.2\\
198&00&$+$& 33.6&224&00&$+$& 37.9&250&00&$+$& 34.6&276&00&$+$& 24.3&302&00&$+$&  9.0&328&00&$-$&  8.0&354&00&$-$& 23.5\\
198&30&$+$& 33.7&224&30&$+$& 37.9&250&30&$+$& 34.5&276&30&$+$& 24.0&302&30&$+$&  8.7&328&30&$-$&  8.4&354&30&$-$& 23.7\\
199&00&$+$& 33.9&225&00&$+$& 37.9&251&00&$+$& 34.3&277&00&$+$& 23.8&303&00&$+$&  8.4&329&00&$-$&  8.7&355&00&$-$& 24.0\\
199&30&$+$& 34.0&225&30&$+$& 37.9&251&30&$+$& 34.2&277&30&$+$& 23.5&303&30&$+$&  8.1&329&30&$-$&  9.0&355&30&$-$& 24.3\\[1ex]
200&00&$+$& 34.2&226&00&$+$& 37.9&252&00&$+$& 34.0&278&00&$+$& 23.2&304&00&$+$&  7.7&330&00&$-$&  9.3&356&00&$-$& 24.5\\
200&30&$+$& 34.3&226&30&$+$& 37.9&252&30&$+$& 33.9&278&30&$+$& 23.0&304&30&$+$&  7.4&330&30&$-$&  9.7&356&30&$-$& 24.8\\
201&00&$+$& 34.5&227&00&$+$& 37.9&253&00&$+$& 33.7&279&00&$+$& 22.7&305&00&$+$&  7.1&331&00&$-$& 10.0&357&00&$-$& 25.0\\
201&30&$+$& 34.6&227&30&$+$& 37.9&253&30&$+$& 33.6&279&30&$+$& 22.4&305&30&$+$&  6.8&331&30&$-$& 10.3&357&30&$-$& 25.3\\
202&00&$+$& 34.7&228&00&$+$& 37.9&254&00&$+$& 33.4&280&00&$+$& 22.2&306&00&$+$&  6.4&332&00&$-$& 10.6&358&00&$-$& 25.5\\
202&30&$+$& 34.9&228&30&$+$& 37.9&254&30&$+$& 33.3&280&30&$+$& 21.9&306&30&$+$&  6.1&332&30&$-$& 10.9&358&30&$-$& 25.8\\[1ex]
203&00&$+$& 35.0&229&00&$+$& 37.9&255&00&$+$& 33.1&281&00&$+$& 21.6&307&00&$+$&  5.8&333&00&$-$& 11.2&359&00&$-$& 26.0\\
203&30&$+$& 35.1&229&30&$+$& 37.9&255&30&$+$& 32.9&281&30&$+$& 21.4&307&30&$+$&  5.5&333&30&$-$& 11.6&359&30&$-$& 26.2\\
204&00&$+$& 35.2&230&00&$+$& 37.8&256&00&$+$& 32.8&282&00&$+$& 21.1&308&00&$+$&  5.1&334&00&$-$& 11.9&360&00&$-$& 26.5\\
