 Domingo                 2  de enero      de         2011
& +66   7 37   8 52  10 27  13 42  15 16  16 31  ** **  ** **
& +64   7 26   8 34   9 49  14 19  15 34  16 42   8 52  11 53
& +62   7 17   8 18   9 22  14 46  15 50  16 51   8 11  12 33
& +60   7  9   8  5   9  2  15  6  16  3  16 59   7 43  13  1
& +58   7  2   7 54   8 45  15 23  16 14  17  6   7 21  13 23
& +56   6 55   7 44   8 31  15 37  16 24  17 13   7  3  13 41
& +54   6 50   7 35   8 19  15 49  16 33  17 18   6 48  13 56
& +52   6 44   7 28   8  8  16  0  16 40  17 24   6 35  14  9
& +50   6 39   7 20   7 58  16 10  16 48  17 29   6 24  14 20
& +48   6 34   7 14   7 50  16 18  16 54  17 34   6 14  14 31
& +46   6 30   7  8   7 42  16 26  17  0  17 38   6  4  14 40
& +44   6 26   7  2   7 35  16 33  17  6  17 42   5 56  14 48
& +42   6 22   6 57   7 28  16 40  17 11  17 46   5 48  14 56
& +40   6 18   6 52   7 22  16 46  17 16  17 50   5 41  15  3
& +40   6 18   6 52   7 22  16 46  17 16  17 50   5 41  15  3
& +35   6  9   6 40   7  8  17  0  17 28  17 59   5 25  15 19
& +30   6  0   6 30   6 56  17 12  17 38  18  8   5 11  15 33
& +20   5 44   6 11   6 35  17 33  17 56  18 24   4 48  15 56
& +10   5 28   5 54   6 17  17 51  18 13  18 40   4 27  16 17
&   0   5 12   5 38   6  0  18  8  18 30  18 56   4  9  16 36
& -10   4 53   5 20   5 43  18 25  18 48  19 15   3 50  16 54
& -20   4 31   5  0   5 24  18 43  19  8  19 37   3 29  17 15
& -30   4  2   4 36   5  3  19  5  19 32  20  5   3  6  17 38
& -35   3 44   4 21   4 50  19 17  19 47  20 23   2 53  17 52
& -40   3 22   4  3   4 35  19 32  20  5  20 46   2 37  18  7
& -45   2 52   3 41   4 18  19 50  20 27  21 15   2 18  18 26
& -50   2  8   3 12   3 56  20 11  20 55  21 59   1 55  18 49
& -55   0 15   2 30   3 27  20 40  21 37  23 44   1 24  19 20
